run,suite,variant,sharpe_total,sharpe_drift,sharpe_neutral,mean_drift,mean_neutral,net_exposure,corr_equal_weight,equal_weight_sharpe
ensemble__full_paper-pca5_b20__ens,ensemble,full_paper-pca5_b20,1.0775488277604164,0.278869737413875,1.0640319277719592,0.0007108212909684648,0.020299138465843008,-0.002954380591120899,0.0674891690352406,0.18270690810397344
ensemble__full_paper-pca5_b3__ens,ensemble,full_paper-pca5_b3,2.360175750677549,0.2947041656280164,2.362202922057982,0.0005370581601695685,0.05016761843716579,0.058331808023941646,0.07032596170065795,0.18270690810397344
ensemble__full_paper-pca5_b5__ens,ensemble,full_paper-pca5_b5,1.9308492176953576,0.31885437551522555,1.9254501157700303,0.0006431777278002917,0.04044867004576226,0.05230411529074522,0.08038823620239666,0.18270690810397344
ensemble__full_paper_costs-ff5_b10__ens,ensemble,full_paper_costs-ff5_b10,0.6055792602819842,0.48356970327541315,-0.026903113305683436,0.022520867164547206,-0.0012256358862483717,0.67915687007418,0.1843076841108275,0.8209217551034704
ensemble__full_paper_costs-ff5_b1__ens,ensemble,full_paper_costs-ff5_b1,0.9362224220969957,0.49589509356771233,0.2958303763403438,0.020564733272112133,0.012120148118445157,0.6330075141010517,0.17449344548539633,0.8209217551034704
ensemble__full_paper_costs-ff5_b20__ens,ensemble,full_paper_costs-ff5_b20,0.5844135090707095,0.46710612724368805,-0.05068117730632975,0.023297067906605875,-0.0024659306868942367,0.701867152552615,0.189970189228806,0.8209217551034704
ensemble__full_paper_costs-ff5_b3__ens,ensemble,full_paper_costs-ff5_b3,0.8074696901817527,0.5208882791162551,0.14930957708708517,0.021956609002652484,0.00618795419887474,0.6496170537361113,0.17884970419975993,0.8209217551034704
ensemble__full_paper_costs-ff5_b5__ens,ensemble,full_paper_costs-ff5_b5,0.7046991734953455,0.5270231936469083,0.0481767598952351,0.0225817154216928,0.0020249503594578695,0.6609292020401168,0.18006128234840368,0.8209217551034704
ensemble__full_paper_costs-pca5_b10__ens,ensemble,full_paper_costs-pca5_b10,0.27649208528388425,0.2244993315185186,0.24679664448435093,0.0007505674574238855,0.0034823931506584014,0.9019045173915434,0.43145533089918275,0.18270690810397344
ensemble__full_paper_costs-pca5_b1__ens,ensemble,full_paper_costs-pca5_b1,0.7401186073438003,0.1983388436129237,0.7510568445349415,0.0006423402581459657,0.011673051022466635,0.8635979032347997,0.39694469026872037,0.18270690810397344
