run,suite,variant,model,n_factors,neutralize,objective,smoothing_days,net_exposure,sel_sharpe,sel_net_sharpe,sel_mean,sel_net_mean,sel_turnover,sel_days,hold_sharpe,hold_net_sharpe,hold_mean,hold_net_mean,hold_turnover,hold_days,duplicate_of_earlier
final__cnn_neutral_cw0.5_k6__s2,final,cnn_neutral_cw0.5_k6,cnn_transformer,6,True,sharpe_costs,1,-1.155970449054754e-09,0.8466446401901585,-1.1169428464118396,0.03351353922613763,-0.04433690694316396,0.5172002189650815,731,0.19332527026369373,-1.1300333594507954,0.009173865782549603,-0.0536876401225102,0.3991224867606359,752,False
final__cnn_neutral_cw0.5_k7__s0,final,cnn_neutral_cw0.5_k7,cnn_transformer,7,True,sharpe_costs,1,9.985031397647111e-10,0.5205578165847036,-1.5188376026869532,0.02036421306889361,-0.0594590016658679,0.5328785605692044,731,0.057704321329509006,-1.3537897280642026,0.0023359749662112306,-0.05486852739179779,0.3540925257097949,752,False
final__cnn_neutral_cw0.5_k7__s1,final,cnn_neutral_cw0.5_k7,cnn_transformer,7,True,sharpe_costs,1,7.583974967471445e-10,0.9889147565392719,-0.7502207398025609,0.03893216941128687,-0.029500038005903017,0.44234989811001785,731,-0.318345635765232,-1.5820938713385155,-0.013340468407889942,-0.06639481150010276,0.32130247547517937,752,False
final__cnn_neutral_cw0.5_k7__s2,final,cnn_neutral_cw0.5_k7,cnn_transformer,7,True,sharpe_costs,1,-6.64185950263615e-10,1.0766423317302118,-0.6911173143052911,0.04193906156898085,-0.02697368557399545,0.44616892979447026,731,0.337161870692743,-1.2484671583853677,0.014446714434924108,-0.05353047752874336,0.4397894809952706,752,False
final__cnn_neutral_cw0.5_k8__s0,final,cnn_neutral_cw0.5_k8,cnn_transformer,8,True,sharpe_costs,1,-1.4759374925499265e-09,0.20808965729739884,-1.4606103554464203,0.008243045946155278,-0.05810129150313826,0.4257568019653297,731,0.7118501705363451,-1.0043574607767944,0.02708891238104759,-0.03823223392460753,0.41863710200645615,752,False
final__cnn_neutral_cw0.5_k8__s1,final,cnn_neutral_cw0.5_k8,cnn_transformer,8,True,sharpe_costs,1,-8.771035543926894e-10,1.0988928834822456,-0.6442670659497997,0.04247811295498197,-0.024944593636799944,0.43432701187327366,731,0.15900936347026984,-1.3199347985456236,0.006536815388926179,-0.054310672798898924,0.3830518878483575,752,False
final__cnn_neutral_cw0.5_k8__s2,final,cnn_neutral_cw0.5_k8,cnn_transformer,8,True,sharpe_costs,1,-3.3473843641497353e-10,1.3323720682790614,-0.3958619719279897,0.051672573490795855,-0.015385766953475623,0.43143125569176005,731,0.5759185269224978,-1.347432094842077,0.02388364367960636,-0.05585046089294264,0.533076170623477,752,False
final__cnn_neutral_cw0__s0,final,cnn_neutral_cw0,cnn_transformer,5,True,sharpe,1,6.114350275806684e-09,0.5321869295678205,-3.0966184963022876,0.024046402529808473,-0.13983738513742625,1.2009398659548536,731,0.07562001796864153,-3.1008270547721155,0.00336675704294781,-0.13795202758833547,1.0212943567254789,752,False
final__cnn_neutral_cw0__s1,final,cnn_neutral_cw0,cnn_transformer,5,True,sharpe,1,5.301665967705534e-09,0.6432766934459607,-2.701749068405458,0.029369008123957728,-0.12340171753584546,1.1126201404741078,731,0.13294081533361177,-3.206117072708043,0.005933465436098426,-0.14357171312529401,1.0869749758901703,752,False
final__cnn_neutral_cw0__s2,final,cnn_neutral_cw0,cnn_transformer,5,True,sharpe,1,-2.338041111581231e-09,0.7607407372071086,-2.4580003486184947,0.03480181881152466,-0.11265185584619451,1.07036351551273,731,0.4564824775933756,-2.904516064145054,0.020923721764588222,-0.13291731465209947,1.1219404905238115,752,False
final__cnn_neutral_cw1__s0,final,cnn_neutral_cw1,cnn_transformer,5,True,sharpe_costs,1,1.0009996314272416e-09,-0.12469744147896576,-1.172801044350652,-0.005093002885833906,-0.0478707085438377,0.23846382770150068,731,0.046517970807260445,-0.9525392563087648,0.0020118934358109223,-0.04126898214824263,0.2436421692207795,752,False
final__cnn_neutral_cw1__s1,final,cnn_neutral_cw1,cnn_transformer,5,True,sharpe_costs,1,5.9183220278533e-10,0.5054517614825058,-0.4910949109539211,0.021737805825966156,-0.021143421282386773,0.23928655157004844,731,-0.32640340071071655,-1.3660221429319583,-0.01504161059411727,-0.06295282148252172,0.28044585768060953,752,False
