run,days,gross_sharpe,gross_expected_max_sharpe,gross_dsr,gross_psr,net_sharpe,net_expected_max_sharpe,net_dsr,net_psr
ensemble__full_recipe-pca8_cw0.5_b10__ens,2769,0.9089367478087597,1.9985497727695942,0.00013806587705297735,0.9987920886551822,-0.7406924655892029,2.6190882348118674,1.1603973972321782e-28,0.007447163768464301
full_bench__pca5_ou_threshold__s0,2769,0.8662950887852717,1.9985497727695942,7.125348767332234e-05,0.9981945481351066,-2.683353344604339,2.6190882348118674,4.875458734907975e-60,7.976238938606595e-17
full_bench__pca5_reversal__s0,2769,0.8108234327795656,1.9985497727695942,2.8037779368803777e-05,0.9970229374299306,-0.11683957003058636,2.6190882348118674,8.451365833126784e-20,0.3498577482142191
full_bench__pca5_fourier_ffn_neutral__s0,2769,0.7505979435540325,1.9985497727695942,5.84819182601386e-06,0.99580946068572,-2.7079155335896012,2.6190882348118674,8.24895120368352e-36,1.2902285001236065e-10
full_recipe__ff5_cw0.5__s1,2769,0.7363972382639984,1.9985497727695942,9.769112679485985e-06,0.9936374731778562,-1.4880032589966734,2.6190882348118674,3.1103671253347886e-38,1.545793920125095e-06
ensemble__full_recipe-ff5_cw0.5_b3__ens,2769,0.6901751339162802,1.9985497727695942,6.295999260318849e-06,0.9893790899841762,-1.272818538817388,2.6190882348118674,9.359703374574804e-37,1.8630487662155825e-05
full_recipe__ff5_cw0.5__s0,2769,0.6449788990706395,1.9985497727695942,3.824819613330212e-06,0.9835061130138143,-1.7817211186716964,2.6190882348118674,6.381041422215982e-48,2.191432087149591e-09
full_bench__ff5_fourier_ffn__s0,2769,0.6203235005941982,1.9985497727695942,2.060000381443698e-06,0.980902800745699,-1.809286697741124,2.6190882348118674,5.2601311667612066e-45,4.982059402347829e-09
ensemble__full_paper_costs-ff5_b1__ens,2769,0.6018991930224507,1.9985497727695942,1.3991350209070173e-06,0.9782608083653983,-0.26627013312385844,2.6190882348118674,1.148772433076931e-21,0.19056364891271027
ensemble__full_recipe-pca5_cw0.5_b20__ens,2769,0.5924092202249696,1.9985497727695942,1.6235007869201697e-06,0.975058519583775,-0.6425048946412654,2.6190882348118674,1.8873314161116708e-27,0.016758501892023193
full_recipe__ff5_cw0.5__s2,2769,0.5616992553991931,1.9985497727695942,8.899080491446757e-07,0.9690785708119204,-1.6802297389664904,2.6190882348118674,7.67011223423068e-45,2.22710252400395e-08
ensemble__full_paper-ff5_b10__ens,2769,0.5597905386976666,1.9985497727695942,7.553016688796141e-07,0.9693552714394108,-1.0551457818298462,2.6190882348118674,5.034954108792576e-33,0.00031167836202402417
ensemble__full_recipe-ff5_cw0.5_b5__ens,2769,0.5448011217360214,1.9985497727695942,6.216932770054639e-07,0.9653945493025782,-1.0457721312977313,2.6190882348118674,4.605934675837612e-33,0.00033491425887750755
full_bench__ff5_reversal__s0,2769,0.5414254082267382,1.9985497727695942,5.299337419275152e-07,0.965109977657848,-0.1988822303831495,2.6190882348118674,7.178454165032816e-21,0.2558491686470721
full_paper_costs__ff5__s0,2769,0.5244143100544579,1.9985497727695942,4.510219606594152e-07,0.9597136076593555,-0.029199017247157583,2.6190882348118674,8.638420154311768e-19,0.461467874497924
ensemble__full_paper_costs-ff5_b3__ens,2769,0.4934164341953623,1.9985497727695942,2.3894625684538195e-07,0.9505878254381582,-0.10023441961991002,2.6190882348118674,1.2327153951649349e-19,0.3701774905446961
ensemble__full_paper_costs-ff5_b5__ens,2769,0.4566126514933958,1.9985497727695942,1.2766186917603825e-07,0.936517105719728,-0.02971362937614121,2.6190882348118674,8.716627110919924e-19,0.4608030556264928
ensemble__full_paper_costs-ff5_b10__ens,2769,0.42293005652235427,1.9985497727695942,6.857056713747643e-08,0.9213663651889191,0.05225493379443825,2.6190882348118674,8.121541452141132e-18,0.568833777103252
ensemble__full_recipe-ff5_cw0.25_b10__ens,2769,0.4049139891861108,1.9985497727695942,5.28429555605173e-08,0.9116312183593709,-1.2055357426840199,2.6190882348118674,2.508640946778455e-35,4.970726097568527e-05
full_bench__ff5_ou_threshold__s0,2769,0.401928416330307,1.9985497727695942,5.708059296841577e-08,0.9090391210224158,-2.611097255232641,2.6190882348118674,9.97993720427317e-63,4.227002354845725e-17
ensemble__full_paper_costs-ff5_b20__ens,2769,0.389645465489038,1.9985497727695942,3.815485201879325e-08,0.9035207340017353,0.10599312936444424,2.6190882348118674,3.431487886957796e-17,0.6376354873767104
full_paper_costs__ff5__s1,2769,0.3194117836285783,1.9985497727695942,9.014450523609742e-09,0.8579028720285813,-0.10849277812910774,2.6190882348118674,1.1274989161980824e-19,0.3601754287110096
ensemble__full_paper-ff5_b20__ens,2769,0.21621632023809204,1.9985497727695942,1.6143504984252513e-09,0.7636529725277703,-0.913175082824121,2.6190882348118674,2.9204359505634473e-31,0.0013896376915108844
ensemble__full_recipe-ff5_cw0.5_b10__ens,2769,0.19804735396340248,1.9985497727695942,1.1587982468465867e-09,0.7444397915046749,-0.9870658007507993,2.6190882348118674,1.2276415449912228e-32,0.0005965587572964482
full_bench__ff5_fourier_ffn_neutral__s0,2769,0.08371950428281046,1.9985497727695942,1.1366453026135682e-10,0.6092124279694883,-2.1881557204148616,2.6190882348118674,4.522634482315038e-47,3.1386518220358796e-11
full_paper_costs__pca5__s1,2769,0.07946578390756003,1.9985497727695942,9.21530354833697e-11,0.6040833620985988,-0.9532245513914879,2.6190882348118674,8.707373047513118e-31,0.0010985098743931728
ensemble__full_paper_costs-pca5_b1__ens,2769,0.057038455214945126,1.9985497727695942,6.287113547750777e-11,0.5749412852983531,-1.3633449002729696,2.6190882348118674,2.048677830810073e-40,2.833098369323898e-06
ensemble__full_recipe-ff5_cw0.25_b20__ens,2769,0.024984891973960137,1.9985497727695942,3.032169788775233e-11,0.533003492400749,-1.2311411195257127,2.6190882348118674,1.3613779235134222e-36,2.8788019435585766e-05
full_paper_costs__pca5__s0,2769,-0.02124663543860113,1.9985497727695942,1.068693655386669e-11,0.471921779916172,-1.348003003790896,2.6190882348118674,4.790424411074607e-41,2.790818677801538e-06
ensemble__full_paper_costs-pca5_b5__ens,2769,-0.051423830270139574,1.9985497727695942,5.3090742902205564e-12,0.4322985483809675,-0.8056527600582127,2.6190882348118674,1.3409261718332307e-30,0.003563282442479634
ensemble__full_paper_costs-pca5_b10__ens,2769,-0.06855483007911353,1.9985497727695942,3.509307051960412e-12,0.4100488791322743,-0.6122562688526854,2.6190882348118674,1.803813460878161e-27,0.020402633725816827
ensemble__full_recipe-ff5_cw0.5_b20__ens,2769,-0.0742842400851549,1.9985497727695942,3.188374705035084e-12,0.4027500893639221,-0.9820456954443193,2.6190882348118674,4.422587221613772e-33,0.0005733752228756136
ensemble__full_paper_costs-pca5_b3__ens,2769,-0.09941708535190838,1.9985497727695942,1.7050898431749643e-12,0.3707750388786718,-1.0486638356372815,2.6190882348118674,8.047360173712805e-35,0.00022963858989010258
ensemble__full_paper_costs-pca5_b20__ens,2769,-0.19990151491041508,1.9985497727695942,1.32338024292514e-13,0.2530893892676186,-0.585812497470199,2.6190882348118674,3.725267941162209e-27,0.024934178157796437
