suite,variant,sharpe_mean,sharpe_std,sharpe_count,mean_return_mean,mean_return_std,mean_return_count,volatility_mean,volatility_std,volatility_count,turnover_mean,turnover_std,turnover_count,net_sharpe_mean,net_sharpe_std,net_sharpe_count
factors,cnn_transformer_k10,-0.1483310919295642,0.294805062124044,3,-0.0040352463728854674,0.007999241141827897,3,0.0277318720074254,0.0006915611656942444,3,0.6604551144072323,0.06122756123431094,3,-3.2515490973119143,0.12700474625402453,3
factors,cnn_transformer_k15,-0.01933548401872313,0.2608787790831218,3,-0.0005765832226484668,0.007396005905027306,3,0.028128423388842066,0.0005167892734214556,3,0.8036642516586113,0.018660370383010702,3,-3.8182934914161213,0.2513866930230064,3
factors,cnn_transformer_k3,0.009554605101636067,0.10749882136798833,3,0.0002587142262157332,0.0031143276687348996,3,0.028859614619427033,0.00024322805638917313,3,0.5606475261882584,0.011942555174442732,3,-2.4779376279980267,0.11099311862050433,3
factors,cnn_transformer_k5,0.4866120289156939,0.15943077148157478,3,0.014981973925330433,0.0039443895604593365,3,0.03134921850358564,0.003388559348460626,3,0.7115633213468668,0.06686880273097479,3,-2.4639439724058296,0.12685003688946767,3
factors,cnn_transformer_k8,0.42976036008866214,0.45338943964360556,3,0.015465142508183566,0.01638137339646563,3,0.036125149877311434,0.00035916452232197385,3,0.785723838559448,0.053651376736105476,3,-2.570754692189467,0.5459341125572222,3
factors,fourier_ffn_k0,0.5571939415938405,0.39464077509600737,3,0.10985420768885486,0.07750082154527563,3,0.1966258240501679,0.004819842277984315,3,0.3171949171561765,0.047909739489377864,3,0.3193907070917108,0.3955892476805962,3
factors,fourier_ffn_k1,0.44580614266662494,0.1615831773823427,3,0.016041980915685265,0.006074516641889927,3,0.0361631106076938,0.004563707617302191,3,0.23154330632112696,0.0174489973210088,3,-0.49767677543923045,0.12007632232769472,3
factors,fourier_ffn_k10,-0.30364312354196743,0.4304328981658174,3,-0.007051081110845968,0.008536856043178494,3,0.019786682952458532,0.004574713973990812,3,0.20315869115751717,0.0550649332260262,3,-1.9205900093359223,0.5684889517790099,3
factors,fourier_ffn_k15,-0.12665857168899916,0.4562164389524168,3,-0.0031070920231977338,0.008718437816574512,3,0.0181227821761175,0.0026935694662755636,3,0.17936294519315768,0.01781559162900128,3,-1.8678934779817362,0.602996280742191,3
factors,fourier_ffn_k3,0.1665122549926305,0.3832107742454684,3,0.0032039528810710997,0.00780251661479137,3,0.021239004326696665,0.0031371963221061357,3,0.12525506736400469,0.01915660850609791,3,-0.8369629779994772,0.5490124018112507,3
