run_name,model,lookback,seed,annualized_sharpe,annualized_return,annualized_volatility,max_drawdown,sortino_ratio,calmar_ratio,daily_turnover,net_sharpe_5bps,net_sharpe_10bps,breakeven_cost_bps,win_rate,cvar_95,hac_t_stat
epochs__e100__s1,cnn_transformer,30,1,0.16328820709558256,0.0058594322640875,0.0358839892256127,-0.08522755540200799,0.22940201238343025,0.0687504438728679,0.44860999186529305,-2.9871340394188333,-6.137556285933249,0.2591528917690992,0.5043830074173972,0.005197734063003501,0.40667564100476766
protocol__fixed_602020__s1,cnn_transformer,30,1,0.16208250683370445,0.0032520144985732657,0.020063944975319332,-0.03825009575809479,0.23274332785412533,0.08501977404554062,0.12364407445060739,-1.3908676632291077,-2.94381783329192,0.5218535338682139,0.5,0.0027199568822601715,0.2146345388726502
architecture__d16_h4_ff32_drop50__s1,cnn_transformer,30,1,0.16173401289892514,0.005684141275947601,0.03514499624454305,-0.07880065968860028,0.23259280769098578,0.07213316866140478,0.40834386876249384,-2.7662120939135373,-5.694158200726,0.27619021491314,0.5077545515846258,0.004989419161464042,0.4357118636144991
objective__sharpe_costs__s1,cnn_transformer,30,1,0.1564485122443037,0.004421997984003512,0.02826487718271362,-0.06408886339364994,0.22063686823016626,0.06899791554801614,0.07305236265631622,-0.4948614251875306,-1.1461713626193648,1.201029673070799,0.5144976399190829,0.004187003426752865,0.4315669244627901
full_bench__ff5_ou_threshold__s0,ou_threshold,30,0,0.1492845308147567,0.0065458740627743804,0.04384830783905525,-0.16687153521609555,0.2185619840516355,0.0392270260730673,0.4865656217143233,-2.6470499850362277,-5.443384500887212,0.2669289564044276,0.4887110603029437,0.006024503550773536,0.5421545733592503
objective__sharpe_costs__s2,cnn_transformer,30,2,0.1472135043715139,0.004161831709265316,0.028270719639703373,-0.05466570148440564,0.2077946201689042,0.07613241202900234,0.07426216794708389,-0.5147458147108035,-1.176705133793121,1.1119528053143648,0.519217801753203,0.004197249945495062,0.36454419016165673
neutral__ou_ffn_neutral__s1,ou_ffn,30,1,0.14116468016033662,0.007664175315565387,0.05429244274743739,-0.0972670467005915,0.19935354098835556,0.07879518886964679,0.2381349959893067,-0.9641460399423755,-2.0694567600450875,0.6385746450881196,0.5084288604180714,0.007779897390900274,0.34424740855264124
final__cnn_neutral_cw0.5__s1,cnn_transformer,30,1,0.14044218817838067,0.00649378872286413,0.04623816252859958,-0.0989228080942558,0.1995309783923938,0.06564500996248249,0.2400952120300831,-1.1680871763731964,-2.4766165409247733,0.5366413317996463,0.4996628455832771,0.006596780903666903,0.3611751407837825
neutral__ou_ffn_neutral__s0,ou_ffn,30,0,0.13127135140829482,0.006805815900833631,0.05184540136000751,-0.09520824631096347,0.18954963890897836,0.0714834708603382,0.21891434002138546,-0.9327847121627241,-1.9968407757337427,0.616844149018532,0.5064059339177344,0.00706025662007486,0.31018197793433716
protocol__constant_w1000__s0,cnn_transformer,30,0,0.11714044954873495,0.003475259413502526,0.02966745839622789,-0.09160453117802803,0.16697877629701421,0.0379376365864331,0.3484592032260369,-2.842726150420147,-5.80259275038903,0.19788129902537918,0.49629130141604855,0.004200795876236907,0.2970472559330535
factors__fourier_ffn_k0__s2,fourier_ffn,30,2,0.10978250786443154,0.02134049093450035,0.19438880883331014,-0.29161031084265576,0.15940836059922944,0.07318153762407621,0.14476000958730995,-0.07788015972917244,-0.2655428273227764,2.9249959321204178,0.5030343897505057,0.026828102736551507,0.3055091745652831
